text,annotations
"(38) dong, y., dindoruk, b., ishizawa, c., & lewis, e. j., an experimental investigation of carbonated water flooding.","Waterflooding, Experiments"
"8,9 gaucher and lindley10 presented a paper contained results from an experiment conducted on scaled reservoir models with a five-spot waterflood pattern.","Waterflooding, Experiments"
"in summary, simulation results showed that using the produced water the rock/ fluid interactions were in equilibrium, but siderite dissolution kinetics was in control with the seawater injection in the laboratory experiments.","Waterflooding, Experiments"
"the results showed that the residual-oil saturation afterwaterflood, about 27% in the experiment, was decreased by gasdisplacement to values as low as 3% at the top of the core, thusconfirming the efficiency of gravity drainage.","Waterflooding, Experiments"
"the capillary pressures necessary to approach sorw in the laboratory waterflood experiments range between 8 and 40 psi, depending on the reservoir unit.","Waterflooding, Experiments"
one injection well is located directly in the aquifer to support in the waterflood experiments.,"Waterflooding, Experiments"
"8,9 gaucher and lindley10 presented a paper contained results from an experiment conducted on scaled reservoir models with a five-spot waterflood pattern.","Waterflooding, Experiments"
"in summary, simulation results show that using the produced water the rock fluid interactions were in equilibrium, but siderite dissolution occurred with seawater injection in the laboratory experiments.","Waterflooding, Experiments"
"20, to conduct the laboratory tests of co2-assisted waterflooding on heavy oil-saturated sand-packs.","Waterflooding, Experiments"
1 experimental results of the relation-ship between resistivity and water satura-tion of waterflood core plugs water-oil displacing experiments of airtight-taken cores in high water-cut well were made under different forma-tion conditions simulated according to flow units by wei and zheng 3 .,"Waterflooding, Experiments"
"in these experiments, the water viscosity finger, the residue oil distribution after water flooding and the oil bank formed by microscopic emulsion flooding were observed.","Waterflooding, Experiments"
"during asp flooding experiment, 0.3pv asp solution was injected when water cut of water flooding reached 95 .","Waterflooding, Experiments"
"production performance as is illustrated in fig.3 a , at the condition of this experiment, the oil recovery of water flooding is 54 , and the recovery is 70.6 at the end of asp flooding.","Waterflooding, Experiments"
"in summary, simulation results showed that using the produced water the rock fluid interactions were in equilibrium, but siderite dissolution kinetics was in control with the seawater injection in the laboratory experiments.","Waterflooding, Experiments"
"introduction this paper presents results of flow experiments on short, water-wet cores showing the influence of fluid viscosity, interfacial tension, and flow velocity on residual oil saturation left by waterflood.","Waterflooding, Experiments"
" s, 10-6, to achieve a practical benefit in field application a process must yield a 100-to 1,000-fold increase in f. in any practical application, this change would be expected with a 30-to 100-fold reduction in ao w combined with an increase in ilw' another possible application of the observed dependency of 50t on f, other than in the enhanced waterflooding process, is in the scaling of laboratory model experiments.","Waterflooding, Experiments"
" integrated pvt and coreflooding studies of carbonated water injection in tight oil reservoirs: a case study jiandong zou*, xinwei liao*, zhiming chen, xiaoliang zhao, lingyu mu, hongyang chu, peng dong, cuo guan state key laboratory of petroleum resources and prospecting, china university of petroleum (beijing), beijing 102249, china abstract: carbonated water injection (cwi) is a modified co2 flooding technique for enhanced oil recovery, which takes both advantages of co2 flooding and water injection and has attracted much attention recently.","Waterflooding, CO2 injection"
"it is mainly due to the high minimum miscibility pressure, serious heterogeneity, gravity override and insufficient co2 sources.13, 14 how to combine the advantages of co2 flooding and water flooding while reducing the adverse effect becomes a challenge and an opportunity.","Waterflooding, CO2 injection"
"followed by the procedure discussed above, evaluation on miscible areas, 14 fields (113 production layers), proved 22.42 percent oil would be produced by water flooding, comparing 34.61 percent by co2 flooding.","Waterflooding, CO2 injection"
4  cmtc 150031  tables  table 1 screening criteria for co2 application  screening parameters miscible immiscible evaluated target crude oil properties density <0.9 <0.95 miscibility viscosity <10 <600 miscible performance inject ability components rich in c2c10  - miscibility reservoir characters depth 9003000 >900 miscibility permeability <10md nc inject ability temperature <90 - miscibility oil saturation >50 >50 eor potential variation coefficient <0.75 <0.75 sweeping efficiency kv/kh <0.1 <0.1 floating effect kh >10-1310-14 >10-1310-14 inject ability so* >0.05 >0.05 sequestration potentials pressure p>mmp - miscible requirement cap formation characters seal cap fractures are undeveloped security leakiness less than 0.05%  in 300 thousand years security   table 2 pvt and mmp observation of well h-1  reservoir conditions initial formation pressure 18.0 mpa initial formation temperature 71.56 formation fluid properties fluid type black oil saturation pressure71.56 5.60 mpa gas oil ratioflashed gas/ flashed oil 37.8m3/m3 formation volume factor71.5618.0mpa 1.1372 initial densityf71.5618.0mpa 0.7751 g/cm3 viscosity71.5618.0mpa 1.64 mpas tank oil0.101mpa20 0.8414 g/cm3 mmp71.56 19.5mpa fluid components mole fraction c1+n2 18.79% co2+c2c10 37.82% c11+ 43.39%   table 3 scenario design in huang 116 block  scenario injection rate cumulative injected volume production period (year) water flooding 35m3 0.6pv 20 co2 flooding 11000m3 0.6pv 20   table 4 prediction results of huang 116 block  methods recovery factor after water flooding recovery factor after co2 flooding recovery increment sequestration coefficient numerical simulation 21.6 29.8 8.2 0.264 stream tube simulation 22.7 31.9 9.2 0.232,"Waterflooding, CO2 injection"
"over the past six decades, co2 flooding as a tertiary recovery technique has been successfully applied to enhance the oil production after the secondary waterflooding7,8.","Waterflooding, CO2 injection"
"in order to simulate the initial waterflooding in the sand-pack coreflooding tests, water was injected at a rate of qw 0.133 cc min which corresponds to the injection velocity of vw 1 ft day and terminated after 24 h. in the simulation runs where a pure co2 slug was injected after the initial waterflooding, co2 flooding was commenced right after waterflooding at two different injection pressures of p 3600 and 6900 kpa.","Waterflooding, CO2 injection"
"in the continuous carbonated waterflooding runs, the simultaneous water and co2 injection started after the initial waterflooding and continued until the end of the simulation.","Waterflooding, CO2 injection"
it is worthwhile to mention that co2 breakthrough occurred at a relatively later time in carbonated waterflooding runs in comparison with that in pure co2 injection runs.,"Waterflooding, CO2 injection"
"however, at a higher co2 injection pressure, injection of pure co2 slug resulted in a slightly higher accumulative heavy oil production in comparison with that in the injection of carbonated water slug and continuous carbonated waterflooding.","Waterflooding, CO2 injection"
coreflood results showed that both secondary and tertiary cwi recovered additional oil compared to water flooding.,Waterflooding
"1, 2 in order to achieve commercial production, fracture stimulation is required for all oil wells, injection wells are also commonly fractured to improve injectivity.3 with continuous water treatment for decades, the effectiveness of water flooding performance has been inevitably weakened when the reservoir reaches the middle and later development stages.4 the ultimate oil recovery is estimated to be around 30%, more than 70% of the original oil in place (ooip) remains in the reservoir after waterflooding.5 there is an urgent need to develop and employ new technologies to improve the ultimate oil recovery.",Waterflooding
this should be a typical interaction process of carbonated water flooding.,Waterflooding
injection well diagnosisthe waterflood strategy of the nwfb was to inject water tomatch the allocated reservoir voidage of the predefined localpattern area.,Waterflooding
"fit for purpose simulationdue to the highly complex nature of the waterflood areas inprudhoe bay, engineers have had difficulty in predicting fluidmovements.",Waterflooding
"although thesemethods can provide meaningful results, they are slow,cumbersome, and have not provided a detailed prediction foreach well to help manage the waterflood at the well level.",Waterflooding
"successful streamline simulation in the nwfbthe streamline model is being used for forecasting, drilling,well work, understanding injection well conformance, anddynamic allocations to manage the waterflood.",Waterflooding
" waterflood management a case study of the northwest fault block area ofspe 63152prudhoe bay, alaska, using streamline simulation and traditional waterflood analysis5several iterations were made each day and a timely solutionreached.",Waterflooding
the first stage was to match early water breakthrough responsefrom the aquifer before waterflood start.,Waterflooding
figure 8 production history match well s-08solution to the problemmanagement of injection wellsunderstanding the vertical conformance of injected fluids wasthe key to solving the under performing nwfb waterflood.,Waterflooding
"because the nwfb shares pore volume with thegravity drainage area, waterflood injection and production canreceive flux from the gas cap area.",Waterflooding
figure 9 streamlines showthe ten year old fully developed nwfb waterflood.,Waterflooding
"although unit voidage replacement is beingattempted, gas cap flux is coming into the waterflood andwater flux is exiting the area.",Waterflooding
figure 9 static allocations 1995 nwfb prudhoe bayfigure 10 shows streamlines over the same waterflood areaafter injection well re-drills and injection allocation usingfrontsim was implemented.,Waterflooding
model dynamic allocations calledfor reducing the water injection rate from over 200 mbpd to100 mbpd.,Waterflooding
" waterflood management a case study of the northwest fault block area ofspe 63152prudhoe bay, alaska, using streamline simulation and traditional waterflood analysis7reduced water cyclinginefficient water injection is readily identified on a by well bylayer basis in the simulation.",Waterflooding
integration of all types of tools and data provided aholistic reservoir analysis for the nwfb waterflood.,Waterflooding
streamline flood front tracking simulation providedan accurate means to manage the 3-d complexity ofthis mature multi-zone waterflood.,Waterflooding
"hall, h.n., fihow to analyze waterflood injection wellperformance,fl world oil oct. 1963 128-1306.",Waterflooding
 spe 153912 waterflood management based on well allocation factors for improved sweep efficiency model based or data based ,Waterflooding
this type of diagnostic information is a key enabler in model-based waterflood management.,Waterflooding
"alternatively, data-driven techniques are available for waterflood diagnostics and estimating injector producer connectivity, including one based on the capacitance-resistivity model crm .",Waterflooding
introduction many authors have shown that streamline-based methods can be used to optimize injection and production well rates in waterflooding.,Waterflooding
grinestaff 1999 quantified injector to producer relationship using streamlines to find inefficiencies in waterflood and to set injection targets.,Waterflooding
a mature waterflood with 17 years of production data had a history-matched reservoir simulation model for one sector considered to be isolated.,Waterflooding
the goal is to improve the waterflood operation across future years as a prediction period.,Waterflooding
a data-based technique has been used for current waterflood management.,Waterflooding
computing crm-based allocation factors an efficient design of a waterflood requires a quantitative measure of how injectors and producers are connected in the reservoir.,Waterflooding
comparing allocation factors obtained from streamlines and crm the history matched reservoir simulation model for the selected representative sector area of a mature waterflood is shown in figure 1.,Waterflooding
"figure 1 reservoir simulation model for a representative mature waterflood, with 2 injectors and 7 producers.",Waterflooding
sl and crm approaches were conducted for a sector model representing a mature waterflood.,Waterflooding
a future study will be to use multiple realizations of the reservoir model to conduct a comparison between sl and crm approaches in order to explore the possibilities of how crm can be integrated into a workflow to complement the streamline approach in predicting waterflood performance and optimization.,Waterflooding
"spe 153912 7 references a. albertoni, l. w. lake, inferring interwell connectivity only from well-rate fluctuations in waterfloods, spej, volume 6, number 1, 2003.",Waterflooding
"s.g. ghori, s.z., a.h. al-huthali, d. krinis, and a. kumar, improving injector efficiencies using streamline simulation a case study in a giant middle east field, proceedings of the spe middle east oil and gas show and conference, 11-14 march 2007, kingdom of bahrain g. h. grinestaff, waterflood pattern allocations quantifying the injector to producer relationship with streamline simulation, proceedings of the spe western regional meeting, 26-27 may 1999, anchorage, alaska, usa.",Waterflooding
"kabir, and l. w. lake, the use of capacitance-resistance models for rapid estimation of waterflood performance, journal of petroleum science and engineering, volume 69, issues 3-4, 2009.",Waterflooding
"m. r. thiele, r. p. batycky, water injection optimization using a streamline-based workflow, proceedings of the spe annual technical conference and exhibition, 5-8 october 2003, denver, colorado, usa.",Waterflooding
the field consists of 555 accumulations and was developed by more than 350 wells with conventional oil recovery methods natural depletion and peripheral water injection.,Waterflooding
"in order to maintain the production plateau as well as the reservoir pressure, water injection was started in 1978 and it had helped to maintain the 160.000 bopd of production up to 1985, except for one year drop due to opec restriction.",Waterflooding
"4 spe 110882 proximity to producer drainage area excluded exclusion of flooded wells and drainage area proximity to fluid contact water , a cut-off at 10m above water contacts owc or wr is used to retain an area of interest which should not be subject to quick water flooding or coning this approach is conservative, the purpose is to avoid as much as possible any bad surprise during drilling production.",Waterflooding
"the remaining oil in these reservoirs is located in oil rim trapped above the structurally highest production row, as bypassed oil down dip in the reservoir and as residual oil sorw trapped after the water flooding.",Waterflooding
spe society of petroleum engineeps spe 23956 the redevelopment of depleted queen waterflood projects in the permian basin t.s.,Waterflooding
the 1960's was the era of secondary recovery with the establishment of many of the basin's water injection projects.,Waterflooding
"a majority of these waterflood projects were probably based on the tank model concept of a reservoir, involving little or no geologic input.",Waterflooding
"in 1976, stiles authored a paper on optimt'zt ng waterflood recovery in the clearfork 4.",Waterflooding
"following primary depletion, the remaining mobile oil volumes within these thick sections were the targets for secondary recovery through water injection.",Waterflooding
2 the redevelopment of depleted queen waterflood projects in the permian basin spe 23956 for lor technology.,Waterflooding
"the queen is shallow, 3600-4700' , the oil is not very sour, the gravity is greater than 300 api and the formation is very susceptible to waterflooding as proven by many successful projects.",Waterflooding
the authors have evaluated over a dozen of these depleted queen waterfloods for lor potential in recent years.,Waterflooding
the term redevelopment has been applied to the process of exploiting the potential of these depleted floods since both infill drilling and the reestablishment of scale water injection is involved.,Waterflooding
high remaining mobile oil saturation in a depleted waterflood is due to a lack of vertical and areal injection coverage.,Waterflooding
companies that acquire depleted waterfloods without doing their homework may achieve less than anticipated results.,Waterflooding
4 the redevelopment of depleted queen waterflood projects in the permian basin spe 23956 2.,Waterflooding
it was possible to determine a usable ooip volume on five of the six waterfloods being discussed.,Waterflooding
secondary response has varied greatly within the individual queen waterfloods studied.,Waterflooding
analogy the queen formation has proven to be a good waterflood candidate.,Waterflooding
table 2 is a summary of recoveries for successful waterflood projects in the two areas.,Waterflooding
the locations of these waterfloods in relation to the six redevelopment projects are shown by figure 5.,Waterflooding
ultimate recoveries have been higher in the andrew county waterfloods than in the lea county projects.,Waterflooding
"the seven rivers and part of the upper queen are gas-bearing, although this may have had little impact on the waterflood performance in view of the horizontal stratification involved.",Waterflooding
the presence of high mobile oil saturation in performing queen waterfloods was confirmed by infill drilling.,Waterflooding
"although some of the infill wells achieved economic recoveries without active water injection support, they are the tions.",Waterflooding
effective water injection into closed patterns is required to provide the reservoir energy and sweep necessary for the economic recovery of remaining mobile oil through infill the bridge operated mfqau is a direct south offset to the sirgo suc2u figure 5a .,Waterflooding
"individual well tion was not available, but the recent unit performance suggests that the duction increases realized from the drilling of infill and replacement wells are being sustained by water injection figure 8 .",Waterflooding
-all of the projects in the study areas have been subjected to millions of barrels of water injection.,Waterflooding
"without water injection support, 5",Waterflooding
"6 the redevelopment of depleted queen waterflood projects in the permian basin spe 23956 however, the welle declined rapidly.",Waterflooding
"following rapid primary depletion, water injection was initiated in 1966 with oil response peaking at 500 bopd in early 1971.",Waterflooding
"prior to waterflooding, the upper queen section exhibited high gors.",Waterflooding
water injection did not begin until 1975 and the project is still an active waterflood.,Waterflooding
"magutex queen unit the sirgo-operated mxqu is a depleted waterflood producing from the a and b sands of the upper queen section in andrews county, texas.",Waterflooding
water injection was initiated in 1963 with only marginal oil response figure 14 .,Waterflooding
this is less than half of the covery experienced by successful queen waterfloods in the same producinq trend table 2 .,Waterflooding
they share a common development and operating history with 40-acre primary development occurring in the late 1950's and water injection starting in 1961 figures 12 and 13 .,Waterflooding
"both projects are depleted waterfloods, injecting only produced water.",Waterflooding
the bridge-operated mfqau project has achieved some cant results where infill wells are being supported by water injection table 3 and figure 8 .,Waterflooding
infill drilling has confirmed that some depleted queen sand waterfloods still contain high mobile oil saturations.,Waterflooding
the economic recovery of the remaining mobile oil requires ment of the waterfloods by infill drilling and adequate water injection support.,Waterflooding
"stiles, l. h. optimizing waterflood recovery in a mature flood, the fullerton clearfork unit, paper spe 6198 presented at the 51st atc e of spe, new orleans, oct. 3-6, 1976.",Waterflooding
"french, r. l., brimhall, r. m. and wu, c. h. a statistical and economic analysis of incremental waterflood infill drilling recoveries in west texas ate reservoirs, paper spe 22624 presented at the 66th atc e of spe, dallas, oct. 6-9, 1991.",Waterflooding
"kunkel, g. c.and bagley, j. w., jr. controlled waterflooding, means queen reservoir, jpt dec. 1965 1385-1388.",Waterflooding
"small-scale eor projects were carried out from 1960 to 1996 hot water flooding, wellbore heating, in-situ combustion, high and low pressure steam drives and soaks.",Waterflooding
"after primary production, pressure was maintained by cold and hot water injection.",Waterflooding
area rd1 has mostly seen cold-water injection and water influx from a limited aquifer to the west.,Waterflooding
there has been some hot water injection as well.,Waterflooding
"area rd2 has a complex history with 15 years of steam injection in the si-123 project area in the south, the in-situ combustion isc project in the north-east plus considerable cold water injection in these and other areas.",Waterflooding
the behaviour of this project could be matched very well with cold-water injection only.,Waterflooding
this is consistent with the final analysis of this project that attributes the observed oil rate response of the isc project mostly to water injection.,Waterflooding
"the influence of fluid viscosity, interfacial tension, and flow velocity on residual oil saturation left by waterflood abstri ct a.abrams member spe-aime results of short-core flow tests are presented for six different sandstones and one limestone to show the influence of interfacial tension, fluid viscosity, and flow velocity on waterflood sor' to make certain that oil trapping occurred in the presence of the test flood water, the floods were initiated saturations at which the oil phase was continuous and in contact with the test flood water as the connate water.",Waterflooding
"it was found for strongly water-wet cores cos e ,,, 1 that sor could be described in terms of the moore and slobod dimensionless group expanded to include viscosity effects normal waterfloods are described by values of the group s,, 10-6.",Waterflooding
waterfloods with normal water usually leave from one-third to one-half the oil initially present in a reservoir as immobile globules distributea through the pores of the rock.,Waterflooding
this leads to a reduction of the residual oil saturation left by the waterflood.,Waterflooding
"the term normal water indicates a water solution whose pertinent physical and chemical properties are essentially the same as waters involved in waterflooding oil reservoirs, that is, ao w 2 25 dynes em andl1w ,'o.oi poise.",Waterflooding
"another conclusion drawn by moore and slobod from their analysis of the doublet model was that during a waterflood of a water-wet pore network, the tendency to trap oil in the larger pores becomes less as the viscous force capillary force ratio increases.",Waterflooding
438 to obtain enhanced water at the trapping front during a waterflood.,Waterflooding
displacing the water present in the reservoir at s or left by normal waterflood with enhanced water having an appropriate 1 and yielding a o-w in the proper range.,Waterflooding
"in this paper, we are examining the behavior of the enhanced waterflood stage of the process.",Waterflooding
"at the initiation of the waterflood the water is injected into the sample essentially as a sharp front, and the diffused zone created by imbibition that leads to oil trapping develops as the front moves into the rock.",Waterflooding
 other difficulties arise as the water approaches the outflow end of the sample during the waterflood.,Waterflooding
"each short-core flood involved the following sequence of operations, starting with a core containing a known sot from a previous waterflood.",Waterflooding
"such floods were done from four to 12 times in sequence, volumetric measurements were used to determine 5 wt at the start of each test waterflood and sot at the end.",Waterflooding
"as would be expected, the residual water banked up behinci the oil and the 5 at measured was found to be the same as that which would be obtaineci with a 0.0094 -poi se waterflood.",Waterflooding
another significant observation for the enhanced waterfloods is that oil recovery is essentially complete at water through.,Waterflooding
a third pertinent observation is that 50t established by a normal waterflood could not be reduced significantly by a subsequent 100-to 500-fold increase in the rate of injection of the flood water.,Waterflooding
"once trapping occurs in a normal waterflood, it has been estimated 3 that the oil is held by capillary forces of such a magnitude that interfacial tension reduction to values of the order of 10-3 to 10-4 dyne em is required to remove significant quantities of oil under the flow conditions obtainable in the reservoir.",Waterflooding
"5 , we see that variation of f in the range 10-5 does not produce a significant change in 50t' the maximum value of f likely to be reached in the normal waterflooding of a water-wet reservoir is 1.4 x 10-6 v 10 ft d or 3.5 x 10-3 cm sec, 11 w - ,.",Waterflooding
"thus, increases in injection rate for the usual waterflood cannot significantly reduce 50t for the water-swept zone.",Waterflooding
for a significant reduction in 50t' the value of f must be about 100-fold greater than that obtained under highly favorable conditions in a normal waterflood.,Waterflooding
4 required to achieve a desired 5 at with an enhanced waterflood.,Waterflooding
ot this represents a 16-saturation-percent reduction in 50t from the 28 percent left by the normal waterflood.,Waterflooding
"to test the behavior of the process at oil saturations applicable in the field, it is necessary to study the enhanced waterflood at initial oil saturations that would be found in an oil bank generated in some recovery process that leads to reconnection of trapped oil.",Waterflooding
"conclusions significant reductions in residual oil saturations after a waterflood can be achieveci through the use of enhanced flood water, that is, water containing chemicals that increase the water viscosity and decrease the water-oil interfacial tension under saturation conditions, so that the oil is in a continuous or connected state as the enhanced flood water displaces the oil from the rock.",Waterflooding
"these variables, as well as flow velocity, can influence the behavior of a waterflood by altering the tiveness of the capillary trapping forces at the flood front.",Waterflooding
