text,annotations
"during asp flooding experiment, 0.3pv asp solution was injected when water cut of water flooding reached 95 .","Waterflooding, Experiments"
figure 8 production history match well s-08solution to the problemmanagement of injection wellsunderstanding the vertical conformance of injected fluids wasthe key to solving the under performing nwfb waterflood.,Waterflooding
"reservoir behaviorafter 3 years of gas injection, the gas cap has globally expandedbetween 35 and 75 m below the initial gas/oil contact (fig.",Gas injection
"the down-dip peripheralareas of the field, where no gas cap existed, are producedusing the waterflood and miscible gas injection process figure 2 .","Waterflooding, Gas injection"
"it includes thin section and sem rock characterisation, ct scanning, nmr and hg-air pc, oil/water primary drainage capillary pressure measurements (for comparison with hg-air derived pc), aging the samples in crude oil at connate water under reservoir temperature to restore wettability, spontaneous imbibition measurements followed by the forced imbibition and secondary drainage centrifuge experiments.",Experiments
2 the redevelopment of depleted queen waterflood projects in the permian basin spe 23956 for lor technology.,Waterflooding
"however, the team recognized the risk of injectivity loss due to improper seawater filtration and chemical treatment.",others
the economic recovery of the remaining mobile oil requires ment of the waterfloods by infill drilling and adequate water injection support.,Waterflooding
"except well a9 plug, all experiments were done at surface conditions.",Experiments
the high-pressure pvt cell is equipped with a heating jacket that enables us to conduct our experiment at desired temperature (80 ) with accuracy of 0.1.,Experiments
oil used in the experiment is simulated oil with viscosity 10.0 mpa.s.,Experiments
"at the initiation of the waterflood the water is injected into the sample essentially as a sharp front, and the diffused zone created by imbibition that leads to oil trapping develops as the front moves into the rock.",Waterflooding
the prediction in figure 17 is not totally consistent with the field observation.,others
"if laboratory experiments are conducted at different temperatures, the activation energy and the frequency factor can be calculated directly.",Experiments
"in addition, second contact water displacement (scwd) will be introduced on the maturest lean gas injection reservoirs in order to maximize further the recovery on these reservoirs.",Gas injection
laboratory analysis indicated that the pre-treatment fluid samples did not inhibit the growth of the meor bacteria.,Experiments
"at lower co2 injection pressure, the initial sharp increase in the amount of co2 stored is less pronounced.",CO2 injection
"this would require, however, - due to the slow drainage after the first gasbreakthrough at the producers - a very long gas injection period (fig.",Gas injection
"by changing the peclet number (bulk mass transfer i diffusive mass transfer) in the mass transfer equation, the degree of mixing between the formation water and seawater by dispersion was created.",others
experiment 5 was a secondary cwi performed in long core2.,Experiments
"w because of the nature of the reservoir and proximity to the high-permeability layer, the primary benefit of the waterflooding scheme appears to be pressure maintenance.",Waterflooding
"gunawan, s., caie, d., fihandil field: three years of lean gas injection into waterflooded reservoirsfl.",Gas injection
it was possible to determine a usable ooip volume on five of the six waterfloods being discussed.,Waterflooding
"6 noted earlier, the oil recovery for systems with crossflow (both with increasing and decreasing upward permeability trends) are always intermediate between that predicted for a uniform system and that for a stratified reservoir with no crossflow.",others
"this means that eventually 470 mmstb of the handilfield ooip, previously produced by water injection, will be sub-mitted to an innovative eor development that has now success-fully proved its potential at the field scale.conclusioncrestal injection of lean hydrocarbon gas into waterflooded, light-oil reservoirs is a new eor technique in the asia-pacific region.","Waterflooding, Gas injection"
"the series of studies were conducted simultaneously as follows.identification of the best candidate reservoirs for lean-gasinjection, and selection of a typical reservoir for further study ofthe fundamental mechanisms.aboratory experiments with actual handil rock and reservoirfluid samples to evaluate the efficiency of the process at the micro-scopic scale, and to provide data for the numerical simulations.",Experiments
"in addition, sequestrating co2 by cwi is safer than that by bulk co2 injection.",CO2 injection
"the injected co2 will rapidly rise to the top layers, above the main producing interval, accumulating in the fractures.",CO2 injection
this should be a typical interaction process of carbonated water flooding.,Waterflooding
438 to obtain enhanced water at the trapping front during a waterflood.,Waterflooding
this paper assesses fracture propagation during seawater and produced water injection and its impact on injector performance.,Waterflooding
grinestaff 1999 quantified injector to producer relationship using streamlines to find inefficiencies in waterflood and to set injection targets.,Waterflooding
2 the laboratory experiments in determining prudhoe rock ion exchange characteristics result in improved predictions of ion concentrations in produced water and explain the apparent disappearance of magnesium in the reservoir.,Experiments
conclusions non miscible hydrocarbon gas injection is a valuable eor technique for a mature field such as handil whereas air injection and second contact water displacement are promising as an alternative or continuation.,Gas injection
figure 11-step rate test results indicate a lower injection pressure as a result of sea water injection with progressively increasing pressures with increasing water temperature.,Waterflooding
the reaction rate can be obtained from laboratory coreflood experiments by using the rate constant as a matching parameter.,Experiments
"in the model, a nonreactive species was also created for the purpose of conducting field data history matching.",others
" cmtc 151480 3d stochastic reservoir model and fluid flow simulation of a co2-eor pilot in a fractured reservoir l. chiaramonte, lawerence livermore national laboratory, m.d.",CO2 injection
"deriving imbibition pc from drainage pc as no spontaneous imbibition was observed for this type of oil-wet carbonate reservoir, the water displacing oil process during imbibition followed the same pore-filling sequence as in the primary drainage experiment, i.e., non-wetting phase enters the largest pores first.",Experiments
"as it can be seen from these figures, an increase in the co2 injection pressure leads to a corresponding increase in the amount of co2 stored inside the simulation model.",CO2 injection
"for each set of experiment, wi was first carried out and the cores were cleaned prior to the next test.",Experiments
"4,5 the reactivity of various oilfield carbonates has been measured with optimized rotating disc experiments for several years.",Experiments
"the experiment indicates that when the polymer adsorbed on the surface of the pore channel is oxidized with oxydol,",Experiments
high divalent ion concentrations in reservoir waters and extensive fracture networks appear to preclude use of chemical processes and gas injection techniques with the possible exception of miscible co2.,Gas injection
"in the case of first injector (inj-c), practically the entire tracer was detected in another horizontal well (prod-g) within a very short period of time.",others
since 1999 the field has been developed under depletion drive with gas re-injection.,Gas injection
the practical solution from a subsurface perspective was to perform the sidetrack but this operation presented significant drilling and completion challenges of its own.,others
"this new approach has been successfully implemented in the san francisco field in order to re-organize the water-flooding regime, in particular through the conversion of producers into injectors.",Waterflooding
"in case of coning model with no gas injection, we demonstrated that as k decreases, coning starts developing both in oil and gas phase consistent with the analytic analyses.",Gas injection
"hall, h.n., fihow to analyze waterflood injection wellperformance,fl world oil oct. 1963 128-1306.",Waterflooding
"area rd2 has a complex history with 15 years of steam injection in the si-123 project area in the south, the in-situ combustion isc project in the north-east plus considerable cold water injection in these and other areas.",Waterflooding
"since iron is the dominant element in prudhoe siderite, the dissolution rates were developed solely by matching fe effluent concentrations of the coreflood experiment.",Experiments
the water-air data does not suffer from cleaning problems as air is the clear non-wetting phase.,others
"in the handil situation and for most of tertiary gas injection projects, the gas supply is inadequate to apply the gravity drainage at full field scale within reasonable time scale.",Gas injection
"after many reservoirs have been water-flooded, in order to recover the tertiary oil, eor lean gas injection project was started in november 1995 on five reservoirs.",Gas injection
"6 the redevelopment of depleted queen waterflood projects in the permian basin spe 23956 however, the welle declined rapidly.",Waterflooding
analogy the queen formation has proven to be a good waterflood candidate.,Waterflooding
treatment procedure the most cost-effective and efficient method of introducing the meor bacteria to the reservoir was through the water injection system.,Waterflooding
"as the screening criteria table shows, chemical floods can be used for oils that are more viscous than oils recovered by gas injection methods.",Gas injection
"permission to reproduce in print is restricted to an abstract of not more than 300 words, illustrations may not be copied.",others
"however, both curves show a similar trend.",others
"emerging trends for establishing an environment-friendly pwm position can comprise these declared policies move toward zero emission no discharge to surface or seas waste-to-value conversion incremental and progressive separation pro-activity to influence partners, regulators and environmental laws this paper covers the technical approaches for addressing production, separation, and disposal injection segments of water injection and reservoir waterflooding and the basis for selecting strategy components and pwm actions.",Waterflooding
"no such correlation was found, as higher contact angle during primary drainage did not correlate with higher contact angle during imbibition.",others
there is a steep decline of ph afterwards.,others
thekey experiment consisted in the displacement of a 2.60-m-long core.,Experiments
laboratory ion exchange experiments were carried out to determine the adsorption-desorption capacity with sadlerochit sediment.,Experiments
"the advantages of carbon dioxide flooding are that co2 is very soluble in oils at reservoir pressure, it reduces the oil viscosity before the miscibility is achieved between the co2 and crude oil, and the co2 will stay dissolved in the crude oil.",CO2 injection
"in addition, it was observed that increase in the co2 injection pressure enhances the heavy oil recovery and subsequently causes more co2 to be stored.",CO2 injection
"french, r. l., brimhall, r. m. and wu, c. h. a statistical and economic analysis of incremental waterflood infill drilling recoveries in west texas ate reservoirs, paper spe 22624 presented at the 66th atc e of spe, dallas, oct. 6-9, 1991.",Waterflooding
fig.9.horizontal well completion diagram  2.,others
spe society of petroleum engineeps spe 23956 the redevelopment of depleted queen waterflood projects in the permian basin t.s.,Waterflooding
this work is another milestone towards planning for carbon dioxide flooding in an oil field of pakistan.,CO2 injection
for all the samples the imbibition experiment started from the average water saturation at the end of the primary drainage centrifuge.,Experiments
presence and concentration of tracers in produced water from nearby producers or other producers that could be influenced,others
"(37) kechut, n. i., jamiolahmady, m., sohrabi, m., numerical simulation of experimental carbonated water injection (cwi) for improved oil recovery and co2 storage.",Experiments
"for this reason, the centralizers were considered to be removed in order to increase the likelihood of already covering the screens during the alpha wave.",others
panel iii shows the continuation of gas injection where gas in the matrix goes down to the water swept zone.,Gas injection
"j.moghadasi, j., kalantari-dahaghi, a.m., gholami v. and abdi r.: fiformation damage due to asphaltene precipitation resulting from co2 gas injection in iranian carbonate reservoirs,fl paper spe 99631-ms presented at the 2006 spe europec /eage annual conference and exhibition, 12-15 june, vienna, austria.",Gas injection
"of the 8 million barrels produced using enhanced recovery mechanisms up to 2002, 6 million was from phase 1 lean gas injection and 2 million from phase 2 lean gas injection.",Gas injection
"in our case, mobility ratio is less than unity and water is displacing oil, therefore oil flows from the less to the more permeable layer at the leading front and water flows counter-currently at the trailing front from the more to the less permeable layer.",others
waterflooding of an eight-wps model.6.,Waterflooding
"isothermal flue gas sweeping, isothermal airflood, and hightemperature adiabatic airflood experiments are performedsequentially using the same composite core.",Experiments
"the reservoir pressures, at bubblepoint at virgin conditions(2,800 psia to 3,200 psia), were depleted by around 1,000 psi at thestart of the gas-injection project because of the production history ofnatural depletion followed by water injection.","Waterflooding, Gas injection"
this experiment aims atsimulating an airflood when injected air arrives at the sweptzone and that the combustion front has disappeared.,Experiments
area rd1 has mostly seen cold-water injection and water influx from a limited aquifer to the west.,Waterflooding
"the batch experiments tested rock fluid spe journal volume 2, march 1997 interactions between prudhoe core material, sea water, produced water, and c02.",Experiments
"in the centrifuge experiment, the average saturation in a core plug is recorded at a set of centrifugal speeds and then a capillary pressure vs. saturation point is calculated at each speed.",Experiments
their gorshave remained high throughout.several production strings have shown a marked gordecrease when the gas injection stopped for a long period.,Gas injection
pilot co2-eor simulations the projected co2-eor pilot will inject 52 tonnes/day or 1 mmcfd of supercritical co2 for six weeks.,CO2 injection
the residual oil saturation varies between 8%-16%.,others
this process is called double displacement process ddp or gravity assisted tertiary gas injection.,Gas injection
"saturations can be achieved even at low pressures.6there is alsoconsiderable field evidence to show that in regions containing gas,gravity drainage can be completed with residual-oil saturationstending to zero.7,8however, the process generally must be stoppedearlier to remain economical.the injection of lean hydrocarbon gas into a waterflooded,light-oil reservoir was then, and remains now, a new developmentprocess, which had never been tested in southeast asia.",Gas injection
second contact water displacement (scwd) is planned to be introduced on the maturest lean gas injection reservoirs.,Gas injection
this average saturation is usually higher than connate water and the difference with connate water increases for samples which were not effectively cleaned.,others
"in north american countries, application of co2-eor have been maturely developed for decades.",CO2 injection
"iptc 11563 deposition of fiasphaltenesfl during co2 injection and implications for eos description and reservoir performance jeff broad, spe, consultant, mohamed naguib ab majid, spe, tajjul ariffin, spe, arshad hussain, spe, ahmad bani basher, spe, qatar petroleum",CO2 injection
the imbibition pc curves in general follow,others
the trapping is structural and stratigraphic.,others
"the remaining oil in these reservoirs is located in oil rim trapped above the structurally highest production row, as bypassed oil down dip in the reservoir and as residual oil sorw trapped after the water flooding.",Waterflooding
"however, the design of the centrifuge experiment and the interpretation of the data are not straightforward and numerical simulation of centrifuge experiments is generally required to derive capillary pressure data (maas and schulte 1997).",Experiments
"the test results indicated table 14 and fig.5 that water-nitrogen alternating injection could improve effectively the displacement efficiency after both water flooding and gas flooding, but finitrogen flooding water-nitrogen alternating injectionfl was better than fiwater flooding water-nitrogen alternating injectionfl.","Waterflooding, Gas injection"
"as would be expected, the residual water banked up behinci the oil and the 5 at measured was found to be the same as that which would be obtaineci with a 0.0094 -poi se waterflood.",Waterflooding
"to further improve the effectiveness of cleaning, our current procedure for this reservoir rock/fluid system is to use flow-through cleaning method (2) mentioned above by alternating with different solvents (chloroform, thf, methanol).",others
the clastic reservoirs within the muddy formation will be the target injection zone for the bell creek co2 eor and storage project.,CO2 injection
"in the end, a complex injection well (called i_1) was designed to penetrate both stratigraphic intervals to confirm pressure and sand communication.",others
"the main features of this plan are 1 stop injection of lean gas into the gas cap, 2 inject water into gascap to maintain pressure as well as prevent resaturation of the gascap with oil, because of the presence of a strong bottom aquifer, 3 develop pattern floods to maximize volumetric sweep, and 4 initiate a water-alternating-gas wag miscible flood to optimize ultimate recovery.",Gas injection
"8 and 9, we can see that a relatively small change in kv/kh does not have any significant effect on the models performance.",others
the wells are activated by esp to anticipate the quick water breakthrough and gravel pack was used to prevent sand problem since the sand down to 1500 mss is poorly consolidated.,others
list of long coreflood experiments 3.,Experiments
"if laboratory experiments are conducted at emperatures, both can be calculated directly.",Experiments
"the crestal injection of gas intends to sweep back the remaining mobile oil towards the producer wells (gasflooding) and secondly, re-mobilize part of the capillary trapped oil (at sorw).",Gas injection
"without water injection support, 5",Waterflooding
summary the bell creek demonstration project provides a unique opportunity to evaluate a large-scale 1 million tons a year combined co2 eor and co2 storage project in a clastic reservoir in southeastern montana.,CO2 injection
4 cmtc 151422 carbon dioxide flooding the co2 flooding is a recognized enhanced oil recovery technique to obtain high oil recovery from various types of oil reservoirs.,CO2 injection
a statistical design of experiments for a homogeneous-reservoir setting suggested that the relative-permeability character was the most dominant variable in terms of both the cumulative-oil production and water-cut performance.,Experiments
"many researchers have explained that immiscible co2 flooding is an important, field-proven heavy oil recovery method, particularly suited for thin marginal, or otherwise poor heavy oil reservoirs.",CO2 injection
"that is why nelson and mcniel8proposed a correction of the air requirement measured in acrushed core experiment by the real porosity.the fuel load calculated with handil oil remains in atypical range of values measured during combustion tubeexperiments.finally, the co2 co ratio with handil oil is relativelyhigh, showing that a complete combustion occurred during therun.conclusionsa new and original laboratory strategy was proposed to assessthe recovery potential by air injection and to help determineoptimal operating conditions required for a safe and successfulair injection project.",Experiments
tracer injection helped to trace the gas injection pattern and this information has been used to calibrate the reservoir model.,Gas injection
": fiexperimental and theoretical assessment of the asphaltene precipitation characteristics under a proposed miscible gas injection scheme,fl paper adspe-0923 presented at the 9th abu dhabi international petroleum exhibition and conference held in abu dhabi , uae, 15-18 october, 2000.",Gas injection
clay swelling due to salinity difference or clay deflocculation is not considered to be a significant risk with low clay content based on laboratory experiments.,Experiments
the co2 will be injected in the crest of the anticline in a gravity-stable flood where the objective is for the co2 to,CO2 injection
"fit for purpose simulationdue to the highly complex nature of the waterflood areas inprudhoe bay, engineers have had difficulty in predicting fluidmovements.",Waterflooding
"however, according to zapata and lake, viscous crossflow does not only take place at the leading front in the more permeable layer, but also at the trailing front in the less permeable layer.",others
the analysis accounts for the thermal effect of cool water injection and which may result in contained fracture injection.,Waterflooding
"kabir, and l. w. lake, the use of capacitance-resistance models for rapid estimation of waterflood performance, journal of petroleum science and engineering, volume 69, issues 3-4, 2009.",Waterflooding
"water injection volumes, oil and water production volumes, and hydrocarbondegrading bacteria hdb populations are presented before and after meor treatment.",Waterflooding
co2 injection for the geological storage in heavy oil reservoirs can also reduce its emissions and contribute towards development of clean fossil fuel production and climate change mitigation.,CO2 injection
"at levels above 60 percent seawater breakthrough, one carbonate phase, calcium carbonate, has completely dissolved.",others
three samples that showed the most difference between water-oil and mercury injection converted data were selected to go through cleaning method (2) and the water-oil drainage pc curve was measured using the centrifuge.,others
" iii airflood experiments show b-values between 0.05 and0.20.the kinetics of this chemical reaction scheme is controlledby the following arrhenius laws hence, the global oxygen consumption depends on eightkinetic parameters to be determined k10, k20, e1, e2, m1, m2,n1, n2.",Experiments
waterflooding commenced in 1961 and continued virtually uninterrupted until june 1986.,Waterflooding
table 2 is a summary of recoveries for successful waterflood projects in the two areas.,Waterflooding
figure 9 streamlines showthe ten year old fully developed nwfb waterflood.,Waterflooding
"5 , we see that variation of f in the range 10-5 does not produce a significant change in 50t' the maximum value of f likely to be reached in the normal waterflooding of a water-wet reservoir is 1.4 x 10-6 v 10 ft d or 3.5 x 10-3 cm sec, 11 w - ,.",Waterflooding
"however, higher co2 injection pressure resulted in a higher accumulative heavy oil production.",CO2 injection
8   component mol % co2 0.19 n2 2.04 c1 59.78 c2 17.63 c3 14.59 c4 4.60 c5 0.86 c6 0.31  the saturation pressure of the live crude oil is measured to be 10.50mpa through constant composition expansion experiment.,Experiments
"eor optimization to further optimize the reservoir management of eor reservoirs and improve the understanding of the gas injection patterns, the intra reservoir connectivities and the sweep efficiency, an integrated study was launched in 2003 on one of the largest reservoirs under eor.",Gas injection
theminimum x-value of 0.8 obtained at 400 c was consistentwith the trend established during the isothermal disk reactorexperiments see figure 4 .isothermal flue gas sweeping experiment.,Experiments
"injection occurs in a quarter of a five-spot pattern in 640-acre spacing for a constant thickness of 30 ft. table 1 range of fluid and rock properties for design of experiments kh, md kv, md o, cp sg kro krw high 500 10 3.2 0.802 fig.",Experiments
"four sets ofisothermal disk reactor experiments runs a, b, c, d wereperformed under similar operating conditions pressure of17.1 mpa, same reservoir oil samples, same type of rocksamples but on different temperature ranges.",Experiments
figure 10-field data showing whp as a function of injection rate indicates lower pressure required for sea water injection compared to produced water.,Waterflooding
"the assessments include a regional geology assessment, storage site screening, and reservoir screening for co2 eor and eor potential and storage capacity calculations.",CO2 injection
"to optimally intersect all desired targets, the wellbore had to be designed to exit out of the casing (figure  6) at an angle of 81 inclination.",others
it was observed that a larger co2 slug size can enhance the oil production only at the beginning of co2 injection.,CO2 injection
secondary response has varied greatly within the individual queen waterfloods studied.,Waterflooding
the arrival times and concentrations of tracers at different producers revealed a lot of information about fluid flow paths in the reservoir.,others
"in addition to the mechanisms listed above, vaporization due to lean gas injection is an important recovery mechanism.",Gas injection
comparison experiments were conducted in labs in terms of gel breaking at the temperature of 45 and with the ph value of the base fluid of the fracturing fluid being 8.5.,Experiments
"assessment of co2 eor and its geo2storage potential in mature oil reservoirs , shengl i oilf ield , china[j].",CO2 injection
a check should be made on their coefficient of variation to avoid the models from having different levels of permeability variation.,others
a mature waterflood with 17 years of production data had a history-matched reservoir simulation model for one sector considered to be isolated.,Waterflooding
reservoir quality is good with variation of porosity from 5% to 36% and with permeability values up to several thousands md.,others
"in addition, comparison of the amount of co2 stored inside the model shows that at a lower co2 injection pressure, injection of a pure co2 slug resulted in a higher mass of co2 to be stored inside the simulation model in comparison with that in injection of carbonated water slug, as presented in table 2 and figure 5 a .",CO2 injection
"production performance as is illustrated in fig.3 a , at the condition of this experiment, the oil recovery of water flooding is 54 , and the recovery is 70.6 at the end of asp flooding.","Waterflooding, Experiments"
experiment 2 was a secondary cwi performed in long core1.,Experiments
